Rank,State,Percent,Year
1,Rhode Island,39.5,2020
2,Connecticut,43.9,2020
3,Wisconsin,44.3,2020
4,Maine,45.3,2020
5,North Dakota,46.7,2020
6,Minnesota,47.5,2020
7,Ohio,48.6,2020
8,District of Columbia,48.7,2020
9,Virginia,51.3,2020
10,Maryland,52.5,2020
11,Louisiana,52.7,2020
12,Utah,53.8,2020
13,Pennsylvania,53.9,2020
14,West Virginia,54.2,2020
15,Massachusetts,54.5,2020
16,New Hampshire,54.7,2020
17,Indiana,54.8,2020
18,New York,55.1,2020
19,Vermont,55.3,2020
20,Colorado,55.6,2020
21,Oregon,55.6,2020
22,Idaho,55.7,2020
23,South Dakota,55.7,2020
24,Illinois,56.1,2020
25,Tennessee,57,2020
26,Florida,57.2,2020
27,Delaware,57.3,2020
28,New Jersey,57.8,2020
29,Hawaii,57.9,2020
30,Missouri,59,2020
31,Washington,59.1,2020
32,Iowa,59.8,2020
33,Michigan,59.8,2020
34,Arizona,60.2,2020
35,Arkansas,61.3,2020
36,Nevada,61.4,2020
37,New Mexico,61.4,2020
38,Kentucky,62,2020
39,Wyoming,62.5,2020
40,Montana,63.2,2020
41,Mississippi,63.7,2020
42,California,63.9,2020
43,Texas,65.4,2020
44,Alaska,65.6,2020
45,Oklahoma,65.8,2020
46,Alabama,67.5,2020
47,Kansas,70.8,2020
48,Georgia,70.9,2020
49,Nebraska,71.3,2020
50,South Carolina,73.7,2020
51,North Carolina,74.3,2020
