Rank,State,Percent,Year
1*,Connecticut,48.6,2018
2,Maine,50.1,2018
3,Vermont,50.6,2018
4,Minnesota,51.9,2018
5,Alaska,53.1,2018
6,Oregon,54.9,2018
7,Massachusetts,55.5,2018
8,Maryland,55.6,2018
9, Wyoming ,55.7,2018
10,Iowa,56.4,2018
11,Ohio,58.0,2018
12,New Hampshire,58.0,2018
13,South Dakota,58.1,2018
14,Delaware,58.8,2018
15,West Virginia,59.9,2018
16,Idaho,59.9,2018
17,New York,60.3,2018
18,Rhode Island,61.6,2018
19,Illinois,61.8,2018
20,Michigan,62.0,2018
21,Colorado,62.1,2018
22,Nebraska,62.1,2018
23,Arizona,62.1,2018
24,North Carolina,62.3,2018
25,Washington,62.5,2018
26,North Dakota,62.5,2018
27,Indiana,62.7,2018
28,Oklahoma,63.1,2018
29,Kansas,63.3,2018
30,New Jersey,63.5,2018
31,Nevada,64,2018
32,District of Columbia,64.1,2018
33,Montana,64.6,2018
34,Utah,64.7,2018
35,Kentucky,64.9,2018
36,California,65,2018
37,Louisiana,65,2018
38,Georgia,65.5,2018
39,Missouri,66.3,2018
40,Pennsylvania,66.4,2018
41,Arkansas,66.6,2018
42,Hawaii,66.7,2018
43,Florida,66.8,2018
44,Alabama,67.1,2018
45,New Mexico,69.2,2018
46,Texas,69.5,2018
47,Mississippi,70,2018
48,South Carolina,70.6,2018
49,Virginia,70.8,2018
50,Wisconsin,71.8,2018
51,Tennessee,72.2,2018
